Name,gdd,Mole1,C-C,C=C,C:N,C:C,C:S,C-H,C-Si,N:S,H-Si,H-N,C:O,C-N,C/C,N-O,N=O,C-O,C=O,C-F,O=S,C-S,N:N,H-O,C#N,C=N,N-N,B-C,C#C,C=S,N:O,B-F,B-N,C/N,Br-C,B-O,N/N,C-Cl,C/O,C\\C,N-S,B-H,N=N,N=S,O-S,H/N,C\\N,H-S,N/O,N\\N,N\\O,C/S,C\\O,N#N,tot_num,HBA,HBD,mui,MaxPC,minPC,weight
train_977,250,C1ccc2csc(c12)-c1sc(-c2sc(-c3scc4ccCc34)c3[nH]ccc23)c2[nH]ccc12,9,2,4,16,8,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,4,2,41.1625844564415,0.165974050258825,0.165974050258825,484.696
train_975,255,C1ccc2csc(c12)-c1sc(-c2sc(-c3ccc[nH]3)c3ccoc23)c2cc[SiH2]c12,7,2,2,14,6,12,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,4,1,43.0677998877017,0.165951958104344,0.165951958104344,445.666
train_973,254,C1ccc2csc(c12)-c1sc(-c2ccc(cc2)-c2cccc3cocc23)c2sccc12,6,1,0,22,6,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,4,0,41.6156988493236,0.10503068247611,0.10503068247611,452.625
train_971,256,C1ccc2csc(c12)-c1sc(-c2Cc(cc2)-c2cccc3nsnc23)c2ccCc12,12,4,2,12,4,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,5,0,42.0837086969598,0.111793286162456,0.111793286162456,440.618
train_97,263,C1C=c2c3cccnc3c3c4ccccc4c4cc(oc4c3c2=C1)-c1cccnc1,3,2,4,25,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,3,0,42.0837086969598,0.143477614225736,0.143477614225736,384.438
train_969,256,C1ccc2csc(c12)-c1ncc(-c2sc(-c3[SiH2]ccc3)c3ccoc23)c2nsnc12,7,3,4,12,4,11,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,7,0,43.5857457688057,0.152698559458956,0.152698559458956,459.653
train_967,254,C1ccc2csc(c12)-c1ncc(-c2ccc(cc2)-c2scc3nccnc23)c2nsnc12,6,1,8,17,4,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,8,0,42.5674437751975,0.132052514671553,0.132052514671553,467.604
train_965,272,C1C=Cc2csc(c12)-c1cnc2c(c1)oc1c2[nH]c2ccoc12,4,1,4,13,2,9,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,1,50.0173674037145,0.197471969913782,0.197471969913782,318.357
train_963,260,C1C=Cc2csc(c12)-c1cnc2c3[nH]c4ccc5ccccc5c4c3cnc2c1,4,1,6,22,2,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,1,43.0677998877017,0.166624288187293,0.166624288187293,389.483
train_961,254,C1ccc2csc(c12)-c1ccc(cc1)-c1ccc(o1)-c1scc2[SiH2]ccc12,7,2,0,15,4,14,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,0,43.5857457688057,0.144868057261261,0.144868057261261,400.6
train_959,253,C1C=Cc2csc(c12)-c1cc2sc3c(c4c[nH]cc4c4ccccc34)c2c2cscc12,4,1,2,25,6,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,3,1,42.0837086969598,0.165355496019444,0.165355496019444,449.625
train_957,257,C1C=Cc2csc(c12)-c1cc2oc3cc4ccsc4cc3c2c2cscc12,4,1,0,20,6,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4,0,45.8558219653634,0.136251251876253,0.136251251876253,400.549
train_955,270,C1C=Cc2csc(c12)-c1cc2[nH]c3ccc4cocc4c3c2o1,4,1,2,15,2,10,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,3,1,49.2469162947495,0.166661336356416,0.166661336356416,317.369
train_953,256,C1C=Cc2csc(c12)-c1cc2[nH]c3C4=C(Cc3c2c2cscc12)C=C[SiH2]4,8,3,2,13,4,12,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,1,44.678694302661,0.166532632330322,0.166532632330322,385.589
train_951,267,C1C=Cc2csc(c12)-c1cc2ncc3c4occc4ccc3c2s1,4,1,2,16,4,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4,0,48.5101586726861,0.142769020064206,0.142769020064206,345.448
train_95,254,C1C=c2c3cc(ccc3c3cnc4ccc5c[nH]cc5c4c3c2=C1)-c1scc2C=C[SiH2]c12,4,3,4,24,2,15,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2,1,40.298017021936,0.165355134863402,0.165355134863402,442.619
train_949,252,C1C=Cc2csc(c12)-c1cc2c([nH]1)c1c3cscc3c3cc[nH]c3c1c1=C[SiH2]C=c21,4,3,4,20,4,12,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2,2,42.0837086969598,0.1665965041117,0.1665965041117,436.637
train_947,260,C1C=Cc2csc(c12)-c1cc2ccc3c(cnc4ccc5c[nH]cc5c34)c2cn1,4,1,6,22,2,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,1,43.0677998877017,0.165355134851019,0.165355134851019,389.483
train_945,260,C1C=Cc2csc(c12)-c1cc2ccc3c4ccccc4[nH]c3c2c2nsnc12,4,1,4,21,2,12,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4,1,44.678694302661,0.166569663659681,0.166569663659681,395.512
train_943,255,C1C=Cc2csc(c12)-c1cc2c(c3c[nH]cc13)c1oc3ccsc3c1c1=C[SiH2]C=c21,4,3,2,20,4,12,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3,1,42.5674437751975,0.165355513666613,0.165355513666613,437.621
train_941,258,C1C=Cc2csc(c12)-c1cc2c3cocc3c3cc4ccc5cocc5c4cc3c2s1,4,1,0,25,4,14,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4,0,42.5674437751975,0.105031592369068,0.105031592369068,434.541
train_939,253,C1C=Cc2csc(c12)-c1cc2c3c[nH]cc3c3c4[SiH2]C=Cc4c4=C[SiH2]C=c4c3c2cn1,5,4,4,19,2,13,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,1,40.7235956489788,0.165355487593637,0.165355487593637,446.683
train_937,256,C1C=Cc2cnc3c([nH]c4cc([nH]c34)-c3scc4c3c3ccccc3c3ccccc43)c12,4,1,6,26,2,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,2,40.7235956489788,0.166704177026396,0.166704177026396,427.532
train_935,264,C1C(=Cc2cnc3c(ncc4ccc5c[nH]cc5c34)c12)c1cccc2cocc12,4,1,6,22,0,14,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,1,43.0677998877017,0.165355134885693,0.165355134885693,373.415
train_933,274,C1C=Cc2cnc3c(cnc4cc(ncc34)-c3ccccn3)c12,4,1,8,14,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4,0,48.5101586726861,0.090759628448153,0.090759628448153,296.333
train_931,256,C1C=Cc2cnc3c(ccc4cc(-c5scc6[SiH2]C=Cc56)c5cscc5c34)c12,5,2,2,19,4,13,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,0,43.5857457688057,0.084668214924212,0.084668214924212,409.611
train_93,257,C1C=c2c3cc(ccc3c3cc4c5nsnc5ccc4cc3c2=C1)-c1cncc2nsnc12,3,2,6,25,0,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,7,0,42.0837086969598,0.123213327106764,0.123213327106764,459.559
train_929,269,C1C=Cc2cnc3cc(-c4cccnc4)c4=C[SiH2]C=c4c3c12,4,3,4,13,0,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,47.8047198931139,0.084667777876766,0.084667777876766,298.421
train_927,257,C1C(=Cc2cnc3c(c12)c1nsnc1c1ccc2nsnc2c31)c1scc2cc[nH]c12,4,1,8,19,2,9,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,8,1,44.678694302661,0.165973060064289,0.165973060064289,454.565
train_925,254,C1C=Cc2cnc3c(c12)c1cscc1c1cc(-c2cccc4c[nH]cc24)c2=C[SiH2]C=c2c31,4,3,4,24,2,15,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2,1,40.298017021936,0.165355122972389,0.165355122972389,442.619
train_923,259,C1C(=Cc2cnc3c(c12)c1cocc1c1ccc2nsnc2c31)c1scc2[nH]ccc12,4,1,6,21,2,11,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,6,1,43.5857457688057,0.165952471652479,0.165952471652479,436.521
train_921,263,C1C=Cc2cnc3c(c12)c1cocc1c1cc(-c2ccccc2)c2ccccc2c31,4,1,2,27,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2,0,41.6156988493236,0.105032258204102,0.105032258204102,383.45
train_917,258,C1C(=Cc2cnc3c4cnccc4c4=C[SiH2]C=c4c3c12)c1scc2ccsc12,4,3,4,17,4,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,4,0,44.1223308885633,0.084734669837791,0.084734669837791,410.599
train_915,272,c1ccc2c(cccc2c1)-c1cnc2c(c1)[nH]c1ccncc21,1,0,6,20,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,1,47.8047198931139,0.166604185152737,0.166604185152737,295.345
train_913,259,c1ccc2c(cccc2c1)-c1cc2cc3[nH]c4ccc5nsnc5c4c3cc2cn1,1,0,6,27,0,13,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,4,1,43.0677998877017,0.166549183569672,0.166549183569672,402.482
train_911,266,C1C(=Cc2ccc-3c([SiH2]c4cc[nH]c-34)c12)c1scc2occc12,5,1,2,14,2,10,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,1,47.8047198931139,0.165919112589804,0.165919112589804,331.472
train_91,260,C1C=c2c3cc(ccc3c3c4cocc4c4ccccc4c3c2=C1)C1=CC=C[SiH2]1,4,4,0,23,0,16,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0,41.6156988493236,0.105031461900258,0.105031461900258,386.526
train_909,265,C1C=Cc2ccc3c(cnc4cc(ccc34)-c3scc4nccnc34)c12,4,1,6,18,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4,0,45.8558219653634,0.107248848101525,0.107248848101525,351.434
train_907,258,C1C=Cc2ccc3c(ccc4cc(-c5scc6cc[nH]c56)c5nsnc5c34)c12,4,1,4,21,2,12,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4,1,44.678694302661,0.165973248426999,0.165973248426999,395.512
train_905,268,C1C(=Cc2ccc3cc4C=C[SiH2]c4cc3c12)c1ccc[nH]1,5,2,2,14,0,12,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1,47.8047198931139,0.165913505226782,0.165913505226782,285.422
train_903,262,C1C=Cc2ccc3c(c12)c1c[nH]cc1c1cc(-c2ncncn2)c2cscc2c31,4,1,8,20,2,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,1,43.5857457688057,0.165355489915361,0.165355489915361,390.471
train_901,264,C1C(=Cc2ccc3c4sccc4ncc3c12)c1scc2nccnc12,4,1,6,15,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,0,47.8047198931139,0.106929547713641,0.106929547713641,357.463
train_9,255,C1c2cc(-c3scc4[SiH2]C=Cc34)c3cscc3c2-c2[nH]c3ccccc3c12,5,1,2,19,4,12,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,1,44.1223308885633,0.166557676493179,0.166557676493179,397.6
train_899,268,C1C(=Cc2ccc3c4[nH]ccc4c4nsnc4c3c12)c1ccc[nH]1,4,1,6,16,0,10,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,2,47.8047198931139,0.165946564454585,0.165946564454585,328.4
train_897,257,C1C=Cc2ccc3c4ncc(cc4c4=C[SiH2]C=c4c3c12)-c1cccc2ccccc12,4,3,2,25,0,17,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0,40.7235956489788,0.084680643482947,0.084680643482947,397.553
train_895,267,C1C=Cc2ccc3c4cnc(cc4[nH]c3c12)-c1cccc2c[nH]cc12,4,1,6,19,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,2,45.2560747165196,0.166559755990087,0.166559755990087,321.383
train_893,269,C1C=Cc2cc3sc(cc3cc12)-c1scc2nccnc12,4,1,4,12,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,0,51.6701827324283,0.108078361334439,0.108078361334439,306.415
train_891,263,C1C(=Cc2cc3[nH]c4ccsc4c3cc12)c1scc2[nH]ccc12,4,1,4,15,4,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,2,48.5101586726861,0.16657638013371,0.16657638013371,332.453
train_89,252,C1C=c2c3ccccc3c3c4ccccc4c4C=C(Cc4c3c2=C1)c1scc2ccsc12,6,3,0,26,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2,0,40.298017021936,0.074660698247372,0.074660698247372,442.608
train_889,278,C1C=Cc2cc3cnc(cc3cc12)-c1nccs1,4,1,4,10,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,54.4785954159051,0.1412847051677,0.1412847051677,250.326
train_887,261,C1C(=Cc2cc3ccc4ccc5nsnc5c4c3cc12)c1scc2occc12,4,1,2,21,2,12,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5,0,45.2560747165196,0.144664341108892,0.144664341108892,396.496
train_885,259,C1C(=Cc2cc3c4nsnc4c4ccc5nsnc5c4c3cc12)c1cccc2cocc12,4,1,4,24,0,12,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,7,0,43.0677998877017,0.112856161978304,0.112856161978304,448.532
train_883,258,C1C(=Cc2cc3c4c[nH]cc4c4ccccc4c3cc12)c1scc2cc[nH]c12,4,1,4,23,2,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,2,43.0677998877017,0.165973060064223,0.165973060064223,376.484
train_881,282,c1ccc2c(c1)ccc1c2ccc2cccnc12,0,0,2,19,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,53.4935129650585,0.084006146364899,0.084006146364899,229.282
train_879,260,C1ccc2c1c(sc2-c1[SiH2]c(cc1)-c1cccs1)-c1ccccn1,7,3,2,10,4,13,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,45.8558219653634,0.091179904070186,0.091179904070186,361.567
train_877,260,C1ccc2c1c(sc2-c1sc(-c2[SiH2]ccc2)c2ccoc12)-c1ccco1,7,3,0,11,4,12,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0,45.2560747165196,0.15341269632937,0.15341269632937,390.561
train_875,249,C1ccc2c1csc2-c1sc(c2[SiH2]ccc12)-c1ccc(-c2nccs2)c2c[SiH2]cc12,7,4,2,13,6,13,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,4,0,41.6156988493236,0.123354160505297,0.123354160505297,471.78
